track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",4,2022,1,5,759,3,236940480,32,0,12,0,0,170,F,Minor,1.603074385828928,-0.0928101343595486,-0.21273246517970393,-0.9208475564766774,-0.1886134947097773,-0.08248856361665068,1.110008238234375
A Tale By Quincy,The Weeknd,1,2022,1,7,733,0,41924466,0,2,2,0,0,94,F,Minor,1.5351117314897513,1.1770849051776167,0.40954091588738123,-0.013911415822085053,-0.1886134947097773,-0.8186669861377562,2.570386259228064
I AM WOMAN,Emmy Meli,1,2021,11,18,2795,0,225259194,45,0,107,0,0,170,A#,Major,-0.43580524434637236,0.5844672200602729,-0.026050450859578377,-0.9997115687075114,-0.1886134947097773,-0.4505777748772034,-0.642445386958052
Medallo,"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",3,2021,10,27,2780,2,393230256,54,21,57,1,0,90,E,Minor,-0.503767898685549,-0.6007681501744147,0.40954091588738123,-0.7236875258995921,-0.1886134947097773,2.1996645461987763,-0.642445386958052
It'll Be Okay,Shawn Mendes,1,2021,12,1,1950,0,287201015,56,8,104,0,10,78,G,Major,-2.0669089484866126,-1.4473648431991915,0.16063156346054716,-0.9602795625920945,-0.1886134947097773,1.1690147546692287,-0.15565271329348893
Softcore,The Neighbourhood,1,2018,3,9,3947,12,599770206,33,102,93,0,30,94,D,Major,-2.4746848745216727,-0.8970769927330865,1.4674056637014259,-0.7631195320150091,-0.1886134947097773,-0.7450491438856457,-0.2530112480264015
Super Gremlin,Kodak Black,1,2021,10,30,2551,0,342779426,52,15,35,0,1,73,D,Major,-0.707655861703079,-1.1933858352917583,0.09840422535383865,-0.8814155503612603,0.4937858906446979,-0.22972424812087178,-0.642445386958052
Volvï¿,"Aventura, Bad Bunny",2,2021,8,3,5375,10,673801126,138,24,133,0,1,176,C#,Major,1.1273358054546914,-0.0928101343595486,0.4717682539940897,-0.7236875258995921,-0.1886134947097773,-0.22972424812087178,-0.2530112480264015
Todo De Ti,Rauw Alejandro,1,2020,11,2,11975,8,1168642797,188,75,268,6,16,128,D#,Minor,-0.503767898685549,-0.17746980366202628,-0.1505051270729954,-0.9208475564766774,-0.1886134947097773,1.4634861236776708,-0.642445386958052
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,11,5,4963,0,383550148,63,40,76,0,0,82,D,Major,0.6515972250804546,1.0500954012239,1.218496311274592,-0.9208475564766774,-0.1886134947097773,1.4634861236776708,-0.642445386958052
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,2020,3,13,6734,0,530511203,47,14,90,0,1,95,D,Major,1.7389996945072814,0.41514788145531745,0.5962229302075067,-0.684255519784175,-0.1886134947097773,-0.08248856361665068,-0.2530112480264015
Tacones Rojos,Sebastian Yatra,1,2021,10,22,3047,9,510876816,77,31,85,5,28,123,B,Minor,0.5836345707412779,1.7273727556437215,-0.1505051270729954,-0.8025515381304262,-0.1886134947097773,-0.7450491438856457,0.2337814256381615
Dakiti,"Bad Bunny, Jhay Cortez",2,2020,10,30,11215,21,1763363713,189,166,525,9,25,110,E,Minor,0.7195598794196312,0.07650920424540675,0.5962229302075067,-0.8814155503612603,-0.1886134947097773,1.9788110194424449,1.0126497035014623
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",2,2021,12,29,1678,12,374191487,20,4,15,1,3,96,C#,Minor,0.9234478424371613,1.3464042437825718,0.6584502683142153,-0.4870954892070897,-0.1886134947097773,0.8009255434086759,2.278310655029326
Lï¿½ï¿½ï¿,Stromae,1,2022,1,9,2035,0,108809090,41,122,394,0,2,88,D,Minor,-0.02802931831131227,-1.828333355060341,-0.6483238319266635,0.025520590293332004,-0.1886134947097773,-0.7450491438856457,-0.642445386958052
Nostï¿½ï¿½l,"Chris Brown, Rvssian, Rauw Alejandro",3,2021,9,8,2780,2,436695353,86,76,59,0,16,98,A,Minor,0.4477092620629245,0.41514788145531745,-0.7727785081400805,0.14381660863958318,-0.1886134947097773,0.5800720166523443,-0.15565271329348893
Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",3,2021,9,16,3643,0,354065229,69,3,70,0,3,110,C#,Minor,1.4671490771505746,1.0077655665726613,0.34731357778067273,-0.8025515381304262,-0.1886134947097773,-0.37695993262509286,-0.5450868522251393
Butter,BTS,1,2021,5,21,4779,6,1143647827,180,135,223,0,5,110,G#,Major,-0.16395462698966562,0.3728180468040786,-0.27495980328641245,-0.6053915075533409,-0.1886134947097773,-0.5978134593814245,2.8624618634268018
pushin P (feat. Young Thug),"Young Thug, Future, Gunna",3,2022,1,7,3517,0,311395144,54,28,43,0,0,78,C#,Minor,1.4671490771505746,1.600383251690005,1.342950987488009,-0.4082314769762556,-0.1886134947097773,-0.7450491438856457,-0.5450868522251393
You Right,"Doja Cat, The Weeknd",2,2021,6,24,5073,0,672656250,83,9,100,0,4,129,G#,Major,-1.1154317877381392,0.6267970547115117,-0.7105511700333721,1.3267767921020948,-0.1886134947097773,-0.524195617129314,0.7205740993027245
deja vu,Olivia Rodrigo,1,2021,4,1,7545,4,1256880657,117,39,141,0,46,181,A,Major,-1.3872824050948458,-0.3044593076157428,0.7206776064209238,-0.7236875258995921,10.161110516499765,-0.671431301633535,-0.7398039216909645
TO THE MOON,Jnr Choi,1,2021,11,5,2979,0,245095641,44,0,159,0,0,144,D,Major,-2.4746848745216727,-0.8547471580818476,-0.0882777889662869,0.8141607126016731,2.8821837393853613,0.21198280539179154,0.1364228909052489
Lost in the Fire,"The Weeknd, Gesaffelstein",2,2019,1,11,7731,2,686734357,110,145,447,0,46,101,D,Major,-1.5911703681123759,-1.4050350085479526,-1.6439612416339997,1.7210968532562654,-0.1886134947097773,-0.4505777748772034,-0.642445386958052
Salimo de Noche,"Trueno, Tiago pzk",2,2021,10,21,1057,0,261414174,17,5,21,0,0,84,D,Major,-1.9309836398082594,-0.26212947296450395,-0.586096493819955,1.8393928716025165,-0.1886134947097773,-0.671431301633535,1.0126497035014623
Volando - Remix,"Sech, Bad Bunny, Mora",3,2021,7,8,3272,19,610045621,101,34,70,1,2,154,F#,Major,1.1273358054546914,0.11883903889664559,-0.8350058462467891,0.8141607126016731,-0.1886134947097773,-0.4505777748772034,2.8624618634268018
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,3,5,14417,0,1115880852,237,123,569,0,10,148,F,Major,-0.7756185160422557,-1.3627051738967138,-1.1461425367803317,2.5886009877954406,8.000179129543927,-0.524195617129314,-0.7398039216909645
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",3,2021,9,3,5199,0,594482982,45,43,45,0,3,146,F,Minor,1.6710370401681047,0.4574777161065563,1.342950987488009,-0.6053915075533409,-0.1886134947097773,0.43283633214812317,1.3047253077002001
Don't Be Shy,"Tiï¿½ï¿½sto, Kar",2,2021,8,1,6026,0,566954746,171,51,187,1,21,120,B,Minor,0.5836345707412779,1.092425235875139,-0.7727785081400805,-0.8814155503612603,-0.1886134947097773,-0.7450491438856457,-0.7398039216909645
Love Grows (Where My Rosemary Goes),Edison Lighthouse,1,1970,1,1,2877,0,BPM110KeyAModeMajorDanceability53Valence75Energy69Acousticness7Instrumentalness0Liveness17Speechiness3,16,0,54,0,0,110,A,Major,-0.36784259000719566,-0.21979963831326513,0.5339955921007983,-0.644823513668758,-0.1886134947097773,3.598403548988877,0.03906435617233629
The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",3,2021,11,19,1150,0,184937148,20,38,12,0,0,141,C#,Major,0.4477092620629245,0.3304882121528398,1.4051783255947174,-0.9208475564766774,-0.1886134947097773,-0.7450491438856457,-0.5450868522251393
Phantom Regret by Jim,The Weeknd,1,2022,1,7,768,0,31959571,1,1,3,0,0,108,A,Minor,-1.5911703681123759,-1.828333355060341,-2.764053327554753,1.8788248777179335,4.5881822027715495,-0.524195617129314,-0.7398039216909645
Freaks,Surf Curse,1,2015,5,10,3006,3,824420218,23,21,121,0,13,180,A,Major,0.5836345707412779,1.896692094248677,0.34731357778067273,-0.3293674647454215,-0.1886134947097773,1.0953969124171181,-0.642445386958052
Acapulco,Jason Derulo,1,2021,9,1,3098,0,363467642,111,5,182,1,0,122,A#,Major,1.3312237684722212,1.304074409131333,-0.7105511700333721,-0.644823513668758,-0.1886134947097773,-0.9659026706419773,-0.2530112480264015
Daddy Issues,The Neighbourhood,1,2015,10,30,9771,4,1127468248,42,70,384,0,3,85,A#,Major,0.9234478424371613,-0.47377864622069815,0.5339955921007983,-0.4476634830916727,-0.1886134947097773,-0.671431301633535,-0.2530112480264015
thought i was playing,"21 Savage, Gunna",2,2022,1,7,807,0,60680939,3,0,5,0,0,148,C#,Major,1.8749250031856348,-0.6430979848256535,-1.7061885797407084,0.34097663921666843,-0.1886134947097773,-0.5978134593814245,1.6941594466318504
ELEVEN,IVE,1,2021,12,1,521,1,247737946,17,89,11,0,0,120,A,Major,-0.23191728132884232,1.0500954012239,-1.2705972129937486,1.7210968532562654,0.8349855833219356,-0.4505777748772034,-0.642445386958052
What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",2,2021,11,19,802,0,154797871,13,27,8,0,0,120,E,Major,0.9234478424371613,0.20349870819912327,0.34731357778067273,-0.8814155503612603,-0.1886134947097773,-0.9659026706419773,1.3047253077002001
Miserable Man,David Kushner,1,2022,1,7,788,0,124407432,13,0,32,1,0,110,A#,Major,0.8554851880979846,0.8384462279677058,0.22285890156725569,-0.8025515381304262,-0.1886134947097773,-0.5978134593814245,2.570386259228064
happier,Olivia Rodrigo,1,2021,5,21,3069,4,850608354,25,46,105,0,45,169,F#,Major,-0.16395462698966562,-1.7013438511066246,-0.39941447949982944,-1.0391435748229285,-0.1886134947097773,-0.4505777748772034,-0.15565271329348893
Praise God,Kanye West,1,2021,8,29,4651,0,376333030,24,6,105,0,0,118,C#,Major,-0.8435811703814324,1.4733937477362884,-1.2705972129937486,0.5381366697937537,-0.1886134947097773,-0.8186669861377562,-0.642445386958052
Get Into It (Yuh),Doja Cat,1,2021,6,25,4999,0,516784627,43,19,73,12,0,92,G#,Minor,-0.5717305530247258,0.9231058972701836,-1.2083698748870402,0.695864694255422,-0.1886134947097773,1.1690147546692287,-0.7398039216909645
Before You Go,Lewis Capaldi,1,2019,11,1,8327,24,1608045237,205,130,625,0,25,112,D#,Major,0.8554851880979846,-1.1510560006405195,0.036176887247130134,-0.9602795625920945,-0.1886134947097773,-0.671431301633535,-0.642445386958052
Sky,Playboi Carti,1,2020,12,25,3297,3,506778838,25,3,52,0,1,140,D,Major,-1.7270956767907293,-0.77008748877937,-1.2705972129937486,1.405640804332929,-0.1886134947097773,-0.7450491438856457,-0.44772831749222675
Rolling in the Deep,Adele,1,2010,11,29,35684,6,1472799873,195,125,"6,280",2,78,105,G#,Major,0.5836345707412779,1.2617445744800941,0.9695869588477579,-0.2505034525145874,-0.1886134947097773,0.5064541744002338,-0.642445386958052
Sobrio,Maluma,1,2021,7,8,3506,10,513643924,103,76,100,1,1,178,F,Major,-0.5717305530247258,-1.1933858352917583,-1.1461425367803317,1.563368828794597,-0.1886134947097773,-0.22972424812087178,-0.44772831749222675
Peru,"Ed Sheeran, Fireboy DML",2,2021,12,23,2999,0,261286503,60,17,154,0,22,108,G,Minor,0.10789599036704109,1.6427130863412438,1.4674056637014259,-0.8419835442458432,-0.1886134947097773,0.8009255434086759,-0.2530112480264015
